season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
3,0,9,1,3,0,2,27.606653,31.2823,79.0417,14.250632,3351
4,0,12,0,0,0,1,12.880847,16.57165,62.5833,6.750518,3940
4,1,12,0,3,1,1,19.509153,23.4527,73.375,11.666643,6606
1,1,3,0,0,0,2,21.080847,25.2523,75.5833,7.417168,7836
2,0,5,0,4,1,2,23.028347,26.92645,83.7917,18.582718,4123
4,1,10,0,2,1,3,18.04,21.97,88.0,23.9994,22
1,0,1,0,0,0,2,8.057402,10.44195,49.8696,11.304642,1510
1,1,1,0,2,1,1,11.5825,13.63605,31.125,16.08335,3243
3,0,9,0,6,0,3,25.990433,27.76805,93.9565,12.914116,1842
3,0,7,0,0,0,1,29.6225,32.6081,39.625,6.874736,5362
4,1,10,0,3,1,1,22.310847,26.5152,64.1667,6.3345686,7466
2,0,5,0,6,0,1,29.041653,32.7344,67.75,13.376014,4677
3,1,7,1,4,0,1,32.355847,36.61685,53.875,9.04165,7403
2,0,5,0,0,0,2,21.0125,24.715,86.3333,12.041575,4105
3,1,8,0,1,1,1,31.535847,36.55395,65.25,19.458207,5464
2,1,3,0,3,1,1,13.256653,15.7827,29.0,12.541864,5102
1,0,2,0,0,0,1,7.752731,10.67545,50.6364,7.27285,1746
2,0,4,0,4,1,2,20.739153,24.4629,66.5833,10.584057,3204
4,0,10,0,2,1,1,22.174153,26.19915,72.75,4.25115,5511
1,0,2,0,1,1,1,11.5825,14.1096,53.7917,12.500257,1969
3,1,6,0,6,0,1,34.200847,39.33065,48.875,11.082939,5463
3,1,8,0,4,1,1,28.085,31.78665,55.2083,7.541654,7697
4,0,12,0,3,1,2,15.819153,19.69625,82.7083,4.1679561,3811
3,1,6,0,1,1,1,30.476653,33.7127,47.9167,9.750175,6891
1,0,1,0,4,1,2,9.162598,11.7263,61.6957,8.696332,1985
4,0,10,0,4,1,2,21.8325,26.13605,70.1667,7.375829,4748
3,0,7,0,3,1,1,30.613347,35.19625,65.125,14.458868,4458
3,1,8,0,5,1,1,28.973347,32.63895,59.0417,5.1668189,7713
1,1,1,0,1,1,1,16.126653,19.53895,53.1667,11.708786,4521
4,0,10,0,6,0,1,19.509153,23.32625,63.625,28.292425,4195
2,0,4,0,6,0,1,18.825847,22.6946,40.7083,21.792286,4189
2,0,3,0,6,0,2,11.685,13.54165,80.5833,16.333729,1865
1,0,2,1,3,0,2,12.436653,14.20375,60.5,20.625682,1107
1,1,2,0,1,1,2,10.830847,13.63625,77.9583,8.167032,2832
3,1,8,0,4,1,2,30.75,35.38585,67.2917,7.4169,7534
2,1,5,0,0,0,1,24.6,28.3454,45.625,5.626325,8294
4,0,10,0,1,1,1,17.3225,21.2746,62.9167,6.2086689,4308
4,1,10,0,3,1,1,19.201653,23.0423,55.8333,12.208807,7534
4,1,10,0,4,1,2,14.6575,18.055,66.6667,11.166689,5566
4,1,11,0,2,1,1,12.846653,16.9502,53.5417,3.12555,5087
3,0,8,0,3,1,1,31.638347,35.1646,55.0833,10.500039,4266
1,0,1,0,5,1,2,11.979134,14.9211,74.1739,13.957239,1650
2,1,6,0,6,0,1,26.205847,29.9877,58.9583,11.833339,7665
3,0,9,0,6,0,2,25.761653,27.74815,90.2083,8.584375,4795
4,0,10,0,5,1,3,22.211299,25.6924,89.5217,16.303713,2424
2,1,4,0,5,1,2,20.431653,24.17915,75.6667,11.833875,5026
2,0,3,0,0,0,1,10.830847,12.8156,49.5,15.458575,2210
1,0,3,0,6,0,1,8.131653,10.00665,31.8333,15.125518,1685
3,1,6,0,3,1,1,25.864153,29.7352,37.3333,23.292014,7442
